source,alert_id,title,date,category,mapped_tp_ids,url,severity,summary
cfpb,cfpb-24754393,Incorrect information on your report,2026-07-30T03:07:04.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754467,Incorrect information on your report,2026-07-30T03:06:56.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754350,Incorrect information on your report,2026-07-30T03:06:47.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754347,Problem with a company's investigation into an existing problem,2026-07-30T03:06:42.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754345,Incorrect information on your report,2026-07-30T03:06:38.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754627,Incorrect information on your report,2026-07-30T03:06:32.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754406,Problem with a company's investigation into an existing problem,2026-07-30T03:06:23.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754796,Incorrect information on your report,2026-07-30T03:06:16.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754338,Incorrect information on your report,2026-07-30T03:06:13.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754331,Incorrect information on your report,2026-07-30T03:06:07.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754391,Improper use of your report,2026-07-30T03:05:54.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754383,Problem with a company's investigation into an existing problem,2026-07-30T03:05:50.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754369,Incorrect information on your report,2026-07-30T03:05:50.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754314,Incorrect information on your report,2026-07-30T03:05:34.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754424,Incorrect information on your report,2026-07-30T03:05:11.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754252,Incorrect information on your report,2026-07-30T02:59:26.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754179,Problem with a company's investigation into an existing problem,2026-07-30T02:59:26.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754202,Problem with a company's investigation into an existing problem,2026-07-30T02:59:22.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754163,Incorrect information on your report,2026-07-30T02:58:46.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754194,Incorrect information on your report,2026-07-30T02:58:36.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754149,Incorrect information on your report,2026-07-30T02:58:20.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754188,Incorrect information on your report,2026-07-30T02:57:54.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753881,Incorrect information on your report,2026-07-30T02:44:23.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753875,Improper use of your report,2026-07-30T02:44:14.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753865,Improper use of your report,2026-07-30T02:44:14.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753811,Problem with a company's investigation into an existing problem,2026-07-30T02:44:12.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753710,Incorrect information on your report,2026-07-30T02:38:43.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753704,Incorrect information on your report,2026-07-30T02:38:41.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753655,Problem with a company's investigation into an existing problem,2026-07-30T02:38:23.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753989,Problem with a company's investigation into an existing problem,2026-07-30T02:38:10.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753690,Improper use of your report,2026-07-30T02:38:07.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753717,Incorrect information on your report,2026-07-30T02:38:02.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753688,Problem with a company's investigation into an existing problem,2026-07-30T02:37:52.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753638,Improper use of your report,2026-07-30T02:37:48.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753637,Improper use of your report,2026-07-30T02:37:45.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753596,Incorrect information on your report,2026-07-30T02:32:13.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753763,Incorrect information on your report,2026-07-30T02:32:11.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753493,Incorrect information on your report,2026-07-30T02:32:03.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753580,Incorrect information on your report,2026-07-30T02:31:11.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753473,Incorrect information on your report,2026-07-30T02:31:00.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753510,Incorrect information on your report,2026-07-30T02:30:31.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753455,Incorrect information on your report,2026-07-30T02:30:20.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753449,Improper use of your report,2026-07-30T02:30:18.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753444,Improper use of your report,2026-07-30T02:30:13.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753443,Improper use of your report,2026-07-30T02:30:13.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753750,Problem with a company's investigation into an existing problem,2026-07-30T02:30:00.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753509,Problem with a company's investigation into an existing problem,2026-07-30T02:30:00.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753364,Incorrect information on your report,2026-07-30T02:25:33.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753377,Incorrect information on your report,2026-07-30T02:25:32.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753306,Problem with a company's investigation into an existing problem,2026-07-30T02:25:19.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753304,Improper use of your report,2026-07-30T02:25:15.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753303,Improper use of your report,2026-07-30T02:25:15.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753479,Improper use of your report,2026-07-30T02:25:02.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753325,Problem with a company's investigation into an existing problem,2026-07-30T02:24:52.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753321,Problem with a company's investigation into an existing problem,2026-07-30T02:24:34.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753284,Incorrect information on your report,2026-07-30T02:24:34.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753413,Incorrect information on your report,2026-07-30T02:24:33.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753278,Incorrect information on your report,2026-07-30T02:24:33.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753152,Incorrect information on your report,2026-07-30T02:19:32.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753071,Problem with a company's investigation into an existing problem,2026-07-30T02:18:51.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753067,Incorrect information on your report,2026-07-30T02:18:47.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752799,Problem with a company's investigation into an existing problem,2026-07-30T02:08:35.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752866,Incorrect information on your report,2026-07-30T02:08:20.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752785,Problem with a company's investigation into an existing problem,2026-07-30T02:08:06.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752850,Incorrect information on your report,2026-07-30T02:07:52.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752677,Problem with a company's investigation into an existing problem,2026-07-30T02:03:39.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752708,Incorrect information on your report,2026-07-30T02:03:31.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24753117,Incorrect information on your report,2026-07-30T02:03:17.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752668,Incorrect information on your report,2026-07-30T02:03:11.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752742,Incorrect information on your report,2026-07-30T02:03:00.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752658,Problem with a company's investigation into an existing problem,2026-07-30T02:02:57.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752654,Incorrect information on your report,2026-07-30T02:02:45.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752745,Incorrect information on your report,2026-07-30T02:02:33.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752900,Incorrect information on your report,2026-07-30T02:02:32.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752706,Incorrect information on your report,2026-07-30T02:02:22.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24752701,Problem with a company's investigation into an existing problem,2026-07-30T02:02:08.000Z,credit-reporting,TP-0003,,medium,
sec,sec-0000,"SEC Litigation: RAD Diversified REIT, Inc.; Brandon “Dutch” Mendenhall; Amy Vaughn; and The Seminar Solution, LLC, Relief Defendant

Release No.
LR-26596


See Also: 


SEC Complaint","July 29, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26596,high,SEC Enforcement Action / Litigation Release
sec,sec-0001,"SEC Litigation: Aras Investment Business Group S.A.P.I. de C.V.; Armando Gutierrez Rosas; Maria de Lourdes Tolentino Roque; Diayanira Rendon Trejo; Efren Quiroz Gardea; Luis Quiroz Gardea

Release No.
LR-26595


See Also: 


Final Judgment","July 24, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26595,high,SEC Enforcement Action / Litigation Release
sec,sec-0002,"SEC Litigation: Gauntlet Holdings, LLC; Darrell W. Rideaux; Ali Derakhshanfar; Sal N. Ortiz

Release No.
LR-26594


See Also: 


SEC Complaint

, 

Final Judgment - Gauntlet Holdings, LLC and Darrell W. Rideaux

, 

Final Judgment - Ali Derakhshanfar","July 24, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26594,high,SEC Enforcement Action / Litigation Release
sec,sec-0003,"SEC Litigation: Brian Kuzdas and John Rowland 

Release No.
LR-26593


See Also: 


SEC Complaint","July 24, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26593,high,SEC Enforcement Action / Litigation Release
sec,sec-0004,"SEC Litigation: Semisub, Inc.; Jamey Denise Jackson

Release No.
LR-26592


See Also: 


Consent of Semisub Inc.

, 

Final Judgment - Semisub, Inc.

, 

Consent of Jamey Denise Jackson

, 

Final Judgment - Jamey Denise Jackson","July 23, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26592,high,SEC Enforcement Action / Litigation Release
sec,sec-0005,"SEC Litigation: Joshua A. Weiss

Release No.
LR-26591


See Also: 


Final Judgment","July 23, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26591,high,SEC Enforcement Action / Litigation Release
sec,sec-0006,"SEC Litigation: Zan Shaikh and Bright Vision Distribution LLC, d/b/a Mining Automatic

Release No.
LR-26590


See Also: 


SEC Complaint","July 20, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26590,high,SEC Enforcement Action / Litigation Release
sec,sec-0007,"SEC Litigation: Jamal (“Jimmy”) Chammout; Ali El Siblani; Ali Jawad; Rabih Rakha

Release No.
LR-26589


See Also: 


SEC Complaint","July 17, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26589,high,SEC Enforcement Action / Litigation Release
sec,sec-0008,"SEC Litigation: Shane Schmidt

Release No.
LR-26588


See Also: 


Revised Final Judgment","July 17, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26588,high,SEC Enforcement Action / Litigation Release
sec,sec-0009,"SEC Litigation: American Patriot Brands, Inc.; Urban Pharms, LLC; TSL Distribution, LLC; DJ&S Property #1, LLC; Robert Y. Lee; Brian L. Pallas

Release No.
LR-26587


See Also: 


Final Judgment

, 

Amended Order Granting in Part and Denying in Part","July 17, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26587,high,SEC Enforcement Action / Litigation Release
sec,sec-0010,"SEC Litigation: Michael J. Forster

Release No.
LR-26586


See Also: 


Final Judgment","July 15, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26586,high,SEC Enforcement Action / Litigation Release
sec,sec-0011,"SEC Litigation: Michael W. Patterson and Battle Motors, Inc.

Release No.
LR-26585


See Also: 


SEC Complaint","July 13, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26585,high,SEC Enforcement Action / Litigation Release
sec,sec-0012,"SEC Litigation: YouPlus, Inc. and Shaukat Shamim

Release No.
LR-26584


See Also: 


Consent - Shaukat Shamim

, 

Proposed Final Judgment - Shaukat Shamim

, 

Consent of YouPlus, Inc.

, 

Proposed Final Judgment - YouPlus, Inc.","July 13, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26584,high,SEC Enforcement Action / Litigation Release
sec,sec-0013,"SEC Litigation: Steve M. Bajic et al.

Release No.
LR-26583


See Also: 


Final Judgment -Steve Bajic

, 

Final Judgment -Christopher McKnight

, 

Commission’s Status Report Regarding Final Judgment Against Defendant Rajesh Taneja","July 10, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26583,high,SEC Enforcement Action / Litigation Release
sec,sec-0014,"SEC Litigation: Robert Yedid, Andrew Kaufman, and Mark Jacobs

Release No.
LR-26582


See Also: 

Final Judgment - Robert Yedid

, 
Final Judgment - Andrew Kaufman

, 
Final Judgment - Mark Jacobs

, 
Consent Motion for Final Judgments

, 
Declaratio","July 10, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26582,high,SEC Enforcement Action / Litigation Release
sec,sec-0015,"SEC Litigation: Weiguo Zhai

Release No.
LR-26581


See Also: 


SEC Complaint","July 9, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26581,high,SEC Enforcement Action / Litigation Release
sec,sec-0016,"SEC Litigation: Quest Education L.L.C.; Daniel Blue; David Christopher White; Keitoh Jordan Spears

Release No.
LR-26580


See Also: 


SEC Complaint

, 

Final Judgment","July 6, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26580,high,SEC Enforcement Action / Litigation Release
sec,sec-0017,"SEC Litigation: David Kushner and La Mancha Funding Corp.

Release No.
LR-26579


See Also: 


Judgment - Kushner

, 

Judgment - La Mancha","July 1, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26579,high,SEC Enforcement Action / Litigation Release
sec,sec-0018,"SEC Litigation: Charles E. Jones

Release No.
LR-26578","June 30, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26578,high,SEC Enforcement Action / Litigation Release
sec,sec-0019,"SEC Litigation: AI Financial Education Foundation Ltd.

Release No.
LR-26577


See Also: 

Final Judgment","June 29, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26577,high,SEC Enforcement Action / Litigation Release
sec,sec-0020,"SEC Litigation: NanoBit Limited, et al.

Release No.
LR-26576


See Also: 

Final Judgment","June 29, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26576,high,SEC Enforcement Action / Litigation Release
sec,sec-0021,"SEC Litigation: Michael Bowen and Chol Kim a/k/a Brandon Kim

Release No.
LR-26575


See Also: 


Final Judgment - Michael Bowen","June 25, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26575,high,SEC Enforcement Action / Litigation Release
sec,sec-0022,"SEC Litigation: Mingran Wang

Release No.
LR-26574


See Also: 


SEC Complaint","June 25, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26574,high,SEC Enforcement Action / Litigation Release
sec,sec-0023,"SEC Litigation: Casey Muggleston

Release No.
LR-26573


See Also: 

SEC Complaint","June 24, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26573,high,SEC Enforcement Action / Litigation Release
sec,sec-0024,"SEC Litigation: Giovanni Pennetta

Release No.
LR-26572


See Also: 


SEC Complaint","June 24, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26572,high,SEC Enforcement Action / Litigation Release
sec,sec-0025,"SEC Litigation: Sanders Family Office; Margaret Sanders; Francisco J. Herrera

Release No.
LR-26571


See Also: 


SEC Complaint - Herrera

, 

SEC Complaint - Sanders","June 24, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26571,high,SEC Enforcement Action / Litigation Release
sec,sec-0026,"SEC Litigation: Justin Jennings and Vortex Strategies LLC

Release No.
LR-26570


See Also: 


SEC Complaint","June 23, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26570,high,SEC Enforcement Action / Litigation Release
sec,sec-0027,"SEC Litigation: Kamal Zuhdi Abdallah, a/k/a Kamal Sulleman, Defendant; Zeina Abdallah, Relief Defendant

Release No.
LR-26569","June 16, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26569,high,SEC Enforcement Action / Litigation Release
sec,sec-0028,"SEC Litigation: Bruce Cameron Conway

Release No.
LR-26568


See Also: 


Consent of Defendant

, 

Final Judgment","June 16, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26568,high,SEC Enforcement Action / Litigation Release
sec,sec-0029,"SEC Litigation: Rakesh Ahuja

Release No.
LR-26567


See Also: 


SEC Complaint","June 15, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26567,high,SEC Enforcement Action / Litigation Release
sec,sec-0030,"SEC Litigation: Gerard Ryan

Release No.
LR-26566


See Also: 

SEC Complaint

, 
Judgment - Gerard Ryan","June 15, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26566,high,SEC Enforcement Action / Litigation Release
sec,sec-0031,"SEC Litigation: Santos Kidd

Release No.
LR-26565


See Also: 


Final Judgment","June 12, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26565,high,SEC Enforcement Action / Litigation Release
sec,sec-0032,"SEC Litigation: Rajesh Markan

Release No.
LR-26564


See Also: 

Final Judgment","June 12, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26564,high,SEC Enforcement Action / Litigation Release
sec,sec-0033,"SEC Litigation: Charles J. Cole, Torben M. Welch, Beacon Heart, LLC, Heart of Humanity, LLC, Avranoc, LLC, Defendants; The indigenous Nations’ Bank, Derek A. Thiess, Barry R. Taylor, Relief Defendants

Release No.
LR-26563


See Also: 


SEC Complain","June 11, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26563,high,SEC Enforcement Action / Litigation Release
sec,sec-0034,"SEC Litigation: Sterling Capital, LLC

Release No.
LR-26562


See Also: 

SEC Complaint","June 8, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26562,high,SEC Enforcement Action / Litigation Release
sec,sec-0035,"SEC Litigation: JianQing Li

Release No.
LR-26561


See Also: 


SEC Complaint","June 5, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26561,high,SEC Enforcement Action / Litigation Release
sec,sec-0036,"SEC Litigation: Phoenix American Hospitality, LLC; William Lee “Perch” Nelson

Release No.
LR-26560


See Also: 

SEC Complaint","June 5, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26560,high,SEC Enforcement Action / Litigation Release
sec,sec-0037,"SEC Litigation: Ross Gregory Erskine

Release No.
LR-26559


See Also: 

Final Judgment - Ross Gregory Erskine","June 3, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26559,high,SEC Enforcement Action / Litigation Release
sec,sec-0038,"SEC Litigation: Nathan Fuller

Release No.
LR-26558


See Also: 


SEC Complaint","May 29, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26558,high,SEC Enforcement Action / Litigation Release
sec,sec-0039,"SEC Litigation: James Blake Daughtry

Release No.
LR-26557


See Also: 


Final Judgment","May 21, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26557,high,SEC Enforcement Action / Litigation Release
sec,sec-0040,"SEC Litigation: Oskar Elmgart; Raymond Leibman

Release No.
LR-26556 


See Also: 


SEC Complaint","May 18, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26556,high,SEC Enforcement Action / Litigation Release
sec,sec-0041,"SEC Litigation: Joseph Geromini

Release No.
LR-26555


See Also: 


Final Judgment","May 15, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26555,high,SEC Enforcement Action / Litigation Release
sec,sec-0042,"SEC Litigation: Gautam Adani and Sagar Adani

Release No.
LR-26554


See Also: 


Consent of and Final Judgment as to Gautam Adani

, 

Consent of and Final Judgment as to Sagar Adani","May 14, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26554,high,SEC Enforcement Action / Litigation Release
sec,sec-0043,"SEC Litigation: Robert Newell 

Release No.
LR-26553


See Also: 

Final Judgment - Robert Newell","May 14, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26553,high,SEC Enforcement Action / Litigation Release
sec,sec-0044,"SEC Litigation: Reign Financial International, LLC; Reign Financial International, Inc.; Giorgio Johnson; Gary Mills; Patrick Allen; Berone Capital, LLC; Jeremiah Beguesse; Fabian Stone

Release No.
LR-26552


See Also: 


SEC Complaint","May 12, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26552-0,high,SEC Enforcement Action / Litigation Release
sec,sec-0045,SEC Litigation: Nicolo Nourafchan; Robert Yadgarov; Mark Alperin; Miakel Bishay; David Bratslavsky; Brian Fensterszaub; Mark Fensterszaub; Simon Fensterszaub; Gabriel Gershowitz; Fernando Grinberg; Boruch Hatanian; Yisroel Horowitz; Joseph Izsak; Dan,"May 7, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26551,high,SEC Enforcement Action / Litigation Release
sec,sec-0046,"SEC Litigation: Robert L. Murray, Jr.

Release No.
LR-26550


See Also: 


Final Judgment

, 

SEC Complaint","May 5, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26550,high,SEC Enforcement Action / Litigation Release
sec,sec-0047,"SEC Litigation: David P. Ortiz and DaveGlo Investment Group, Inc.

Release No.
LR-26549


See Also: 


Final Judgment - David P. Ortiz

, 

Final Judgment - DaveGlo Investment Group, Inc.","May 5, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26549,high,SEC Enforcement Action / Litigation Release
sec,sec-0048,"SEC Litigation: Elon Musk and Elon Musk Revocable Trust Dated July 22, 2003

Release No.
LR-26548


See Also: 


SEC Amended Complaint

, 

Consent Motion for Entry of Final Judgment","May 4, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26548,high,SEC Enforcement Action / Litigation Release
sec,sec-0049,"SEC Litigation: Neil R. Cole

Release No.
LR-26547


See Also: 

SEC Dismissal","May 4, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26547,high,SEC Enforcement Action / Litigation Release
sec,sec-0050,"SEC Litigation: Aaron Verdugo, et al.

Release No.
LR-26546


See Also: 

SEC Complaint","April 30, 2026",Litigation Release,TP-0031,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26546,high,SEC Enforcement Action / Litigation Release
